,CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,parentesco(CH3),genero(CH04),edad(CH06),cob_medica(CH08),NIVEL_ED,CAT_OCUP,CAT_INAC,AE_ctrol_ind,AE_ctrol_ind_sum,adulto_equivalente,pobreza
14541,TQRMNOSPQHMNLMCDEGJBF00708850,2022,4,1,1,43,S,13,631,2,,2,1,,4,1,1,1,,1,1,1,2,1,2,2,2,2,2,0,1,2,2,2,0,2,0,6,,1,,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,5,3,2,71000,2,2.0,2,2.0,,2,14200.0,1,1.0,1,1.0,,1,620,1,0,98,0,0,0,1,2,30,4,3,3,0,0.77,3.32,21385.54,1
14557,TQRMNOQYWHKMKUCDEGKDB00797012,2022,4,1,1,43,N,14,129,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,80000,3,3.0,3,,3.0,4,40000.0,4,4.0,4,,5.0,6,221,1,0,98,0,0,0,1,1,56,1,4,0,1,1.0,1.63,49079.75,1
14558,TQRMNORRRHKMKUCDEGKDB00789284,2022,4,1,1,43,N,14,182,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,50000,1,2.0,2,,2.0,2,25000.0,2,2.0,2,,2.0,3,367,1,2,98,0,0,0,1,1,49,4,4,2,0,1.0,2.02,24752.48,1
14559,TQRMNOSTXHMOLLCDEGKDB00710217,2022,4,1,1,43,N,14,120,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,170000,7,7.0,7,,7.0,8,42500.0,4,4.0,4,,5.0,6,192,1,2,98,0,0,0,1,1,35,1,2,3,0,1.0,3.5300000000000002,48158.64,1
14561,TQRMNOPTVHJMLLCDEGKDB00797013,2022,4,1,1,43,N,14,131,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,2,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,120000,5,5.0,5,,5.0,6,30000.0,3,3.0,2,,3.0,4,221,2,0,98,0,0,0,1,1,39,1,4,3,0,1.0,3.15,38095.24,1
14563,TQRMNORXPHLMLLCDEGKDB00716366,2022,4,1,1,43,N,14,139,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,119000,5,5.0,5,,5.0,6,39666.67,4,4.0,3,,4.0,6,294,4,0,98,0,0,0,1,1,55,4,2,3,0,1.0,2.7800000000000002,42805.76,1
14580,TQRMNORPVHKMLPCDEIMBF00792623,2022,4,1,1,43,N,36,152,1,,2,1,,2,1,1,1,,1,1,1,2,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,3,0,3,69400,2,2.0,2,,2.0,2,23133.33,2,2.0,2,,2.0,1,187,1,0,98,0,0,0,1,2,42,4,5,3,0,0.77,2.5300000000000002,27430.83,1
14584,TQRMNORSUHLMKQCDEFMDB00715212,2022,4,1,1,43,N,6,295,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,2,2,2,0,0,0,0,6,,2,,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,3,1,2,57000,2,2.0,2,,2.0,2,19000.0,1,1.0,1,,2.0,1,390,1,0,98,0,0,0,1,2,34,1,4,3,0,0.77,2.27,25110.13,1
14593,TQRMNOPRQHLMLTCDEGJBF00716128,2022,4,1,1,43,S,13,702,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,1,2,0,1,1,2,,1,,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,2,3,110000,4,5.0,5,4.0,,4,22000.0,2,2.0,2,2.0,,1,708,1,0,98,0,0,0,1,2,30,4,4,3,0,0.77,3.88,28350.52,1
14598,TQRMNORSXHKMLRCDEGJBF00789026,2022,4,1,1,43,S,13,855,1,,2,1,,1,1,1,1,,1,1,1,3,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,94000,3,4.0,4,3.0,,4,31333.33,3,3.0,3,3.0,,3,1023,1,2,97,0,0,0,1,1,67,1,4,0,1,0.83,2.17,43317.97,1
14599,TQRMNOPXXHMLLQCDEOHCH00714058,2022,4,2,1,44,N,91,141,2,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,2,,1,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,2,38000,1,1.0,1,,1.0,1,9500.0,1,1.0,1,,1.0,1,138,1,0,98,0,0,0,1,2,34,1,4,3,0,0.77,2.87,13240.42,1
14600,TQRMNOPXYHMLLQCDEOHCH00709875,2022,4,1,1,44,N,91,172,2,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,36000,1,1.0,1,,1.0,1,18000.0,1,1.0,1,,1.0,1,193,1,2,98,0,0,0,1,2,22,4,4,3,0,0.76,1.52,23684.21,1
14612,TQRMNORVSHKMLOCDEIIAD00791517,2022,4,1,1,1,S,32,2929,2,,1,1,,2,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,1,2,2,0,2,0,6,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,0,2,64000,2,,2,2.0,,1,32000.0,3,,3,3.0,,1,1847,1,0,97,0,0,0,1,1,50,1,3,2,0,1.0,1.72,37209.3,1
