,CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,parentesco(CH3),genero(CH04),edad(CH06),cob_medica(CH08),NIVEL_ED,CAT_OCUP,CAT_INAC,AE_ctrol_ind,AE_ctrol_ind_sum,adulto_equivalente,pobreza
2984,TQRMNOYXTHKMLQCDEIGED00791071,2022,4,1,1,43,N,30,293,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,54500,2,2.0,2,,2.0,2,27250.0,2,2.0,2,,3.0,2,306,1,0,98,0,0,0,1,2,44,1,2,3,0,0.77,1.62,33641.98,1
2985,TQSMNORRPHKOLRCDEHNHB00795216,2022,4,1,1,42,S,27,298,1,,3,1,,1,2,1,1,,1,1,1,2,2,2,2,3,1,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,1,2,45700,1,1.0,1,1.0,,1,15233.33,1,1.0,1,1.0,,1,298,1,2,98,0,0,0,1,2,36,4,3,2,0,0.77,2.14,21355.14,1
2987,TQRMNOQQVHKKKOCDEHNHB00790593,2022,4,1,1,42,S,27,72,1,,4,1,,9,1,1,1,,1,1,1,2,2,2,2,4,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,120000,5,5.0,5,5.0,,4,30000.0,3,3.0,3,3.0,,3,72,2,1,3,0,0,0,1,1,47,1,4,3,0,1.0,3.3200000000000003,36144.58,1
2988,TQRMNOSPYHKMKMCDEHNHB00795217,2022,4,1,1,42,S,27,525,1,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,3,1,1,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,6,1,5,182952,7,8.0,8,7.0,,7,30492.0,3,3.0,3,3.0,,3,525,1,0,2,4,0,0,1,2,44,4,3,2,0,0.77,4.86,37644.44,1
2991,TQRMNOPTWHKOKNCDEHNHB00790670,2022,4,1,1,42,S,27,61,1,,1,2,,7,2,1,1,,1,2,2,3,2,2,2,1,1,2,0,1,2,2,2,0,2,0,6,,2,,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,5,1,4,193000,7,8.0,8,7.0,,8,38600.0,4,4.0,4,4.0,,4,61,2,0,3,0,0,0,1,1,33,4,3,2,0,1.0,3.96,48737.37,1
2992,TQRMNOSQQHLLKMCDEHMHF00717432,2022,4,1,1,42,N,26,114,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,2,50353,2,2.0,1,,2.0,2,25176.5,2,2.0,2,,2.0,2,131,1,2,98,0,0,0,1,1,71,1,2,0,1,0.83,1.5,33568.67,1
2995,TQRMNOPYTHMOSTCDEIJAH00719408,2022,4,2,1,1,S,33,998,2,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,1,2,0,1,1,2,2,0,2,0,1,,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,10000,1,,1,1.0,,1,10000.0,1,,1,1.0,,1,1123,1,0,98,0,0,0,1,2,82,1,2,0,1,0.63,0.63,15873.02,1
2996,TQRMNORVXHMOSTCDEIJAH00795315,2022,4,1,1,1,S,33,1002,2,,3,1,,9,1,1,1,,1,1,1,1,2,2,2,3,1,1,1,1,1,2,2,0,2,0,1,,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,23000,1,,1,1.0,,1,23000.0,2,,2,2.0,,2,1320,1,0,98,0,0,0,1,2,57,4,3,3,0,0.76,0.76,30263.16,1
3006,TQRMNORXVHJMKOCDEFJAH00795319,2022,4,1,1,43,N,3,297,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,110000,4,5.0,5,,5.0,5,36666.67,3,4.0,3,,4.0,3,656,2,0,98,0,0,0,1,1,50,1,4,3,0,1.0,2.5300000000000002,43478.26,1
3007,TQRMNOSTRHJOKPCDEOJAH00795320,2022,4,1,1,44,N,93,56,1,,1,1,,4,2,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,35000,1,1.0,1,,1.0,1,35000.0,3,3.0,2,,4.0,2,54,1,0,98,0,0,0,1,1,53,4,3,2,0,1.0,1.0,35000.0,1
3017,TQRMNOSXWHLOKUCDEFKID00714758,2022,4,1,1,43,S,4,716,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,6,2,4,150000,6,6.0,6,6.0,,6,25000.0,2,2.0,2,2.0,,2,742,2,0,98,0,0,0,1,1,40,1,6,3,0,1.0,4.52,33185.84,1
3018,TQRMNORXQHJOLNCDEFKID00795321,2022,4,1,1,43,S,4,712,2,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,1,1,1,1,2,2,0,2,0,3,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,0,2,70000,2,2.0,2,2.0,,2,35000.0,3,3.0,3,3.0,,3,1175,1,2,98,0,0,0,1,1,65,12,4,3,0,0.83,1.5,46666.67,1
3022,TQRMNOTWUHLOLMCDEGGFB00715727,2022,4,1,1,42,S,10,784,1,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,2,2,0,2,0,3,,1,,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,5,0,5,162000,6,7.0,7,6.0,,7,32400.0,3,3.0,3,3.0,,3,1079,2,0,98,0,0,0,1,1,57,1,2,0,1,1.0,4.84,33471.07,1
3025,TQRMNOSUSHLOKOCDEHMHF00717437,2022,4,1,1,42,N,26,232,1,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,6,2,4,85100,3,3.0,3,,3.0,3,14183.33,1,1.0,1,,1.0,1,242,1,0,98,0,0,0,1,1,32,4,4,2,0,1.0,4.53,18785.87,1
3026,TQRMNORSSHKOKPCDEGNFJ00789540,2022,4,1,1,44,N,17,354,1,,4,1,,2,2,1,1,,1,1,1,1,2,2,2,4,4,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,11,4,7,200000,8,8.0,7,,8.0,7,18181.82,1,1.0,1,,1.0,1,754,1,0,3,11,0,0,1,2,28,4,3,0,3,0.76,8.47,23612.75,1
3027,TQRMNOQPUHJMKSCDEGNFJ00795402,2022,4,1,1,44,N,17,231,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,2,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,3,0,3,65000,2,2.0,1,,2.0,1,21666.67,2,2.0,1,,2.0,1,349,1,0,2,0,0,0,1,2,45,1,5,2,0,0.77,2.79,23297.49,1
3034,TQRMNOQXQHLNLSCDEFJAH00775930,2022,4,1,1,43,N,3,182,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,4,0,4,170000,7,7.0,7,,7.0,7,42500.0,4,4.0,4,,5.0,3,278,1,0,2,3,4,0,1,1,54,1,3,2,0,1.0,3.54,48022.6,1
3035,TQRMNOPVQHMNLTCDEFJAH00710646,2022,4,2,1,43,N,3,178,1,,3,1,,1,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,1,1,2,0,2,0,3,,1,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,57000,2,2.0,2,,2.0,2,28500.0,2,3.0,2,,3.0,2,132,1,0,98,0,0,0,1,2,32,4,3,3,0,0.77,1.23,46341.46,1
3048,TQRMNOSURHMNNSCDEIIAD00718573,2022,4,1,1,1,S,32,3415,2,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,1,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,0,1,32800,1,,1,1.0,,1,32800.0,3,,3,3.0,,1,2327,1,0,98,0,0,0,1,1,19,1,5,0,0,1.02,1.02,32156.86,1
3052,TQSMNOPVRHLLROCDEIJAH00794609,2022,4,1,1,1,S,33,3686,2,,2,2,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,6,2,4,120000,5,,4,4.0,,5,20000.0,2,,1,1.0,,2,5474,2,0,98,0,0,0,1,1,35,1,4,3,0,1.0,4.73,25369.98,1
3057,TQRMNORPYHMOTSCDEIJAH00794612,2022,4,1,1,1,S,33,1188,1,,3,1,,2,1,1,2,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,0,3,125000,5,,5,5.0,,5,41666.67,4,,4,4.0,,4,2496,1,0,2,3,0,0,1,2,84,1,2,0,1,0.63,2.63,47528.52,1
3059,TQRMNOQPTHKOLOCDEGLDF00789407,2022,4,1,1,41,N,15,464,1,,4,3,,4,1,2,1,,1,2,1,1,2,2,2,4,3,2,0,2,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,14,6,8,68800,2,2.0,3,,2.0,3,4914.29,1,1.0,1,,1.0,1,557,1,0,12,0,0,0,1,1,40,4,2,0,4,1.0,10.3,6679.61,1
3060,TQRMNOQRSHMOLOCDEGLDF00794734,2022,4,1,1,41,N,15,168,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,1,2,0,2,0,1,,2,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,0,2,72000,2,2.0,3,,3.0,3,36000.0,3,4.0,5,,4.0,5,180,2,0,1,0,0,0,1,1,29,4,5,0,3,1.02,1.69,42603.55,1
3061,TQRMNOPPXHLMLMCDEGLDF00716396,2022,4,1,1,41,N,15,301,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,0,1,45000,1,1.0,1,,1.0,1,45000.0,4,5.0,6,,5.0,7,314,1,0,98,0,0,0,1,1,23,4,4,3,0,1.02,1.02,44117.65,1
3063,TQRMNOSPWHLOLNCDEGLDF00777846,2022,4,1,1,41,N,15,314,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,1,2,2,0,2,0,6,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,50900,2,2.0,2,,2.0,2,12725.0,1,1.0,1,,1.0,1,323,1,0,98,0,0,0,1,1,42,4,2,2,0,1.0,2.87,17735.19,1
3066,TQSMNORVSHLMLPCDEGLDF00716398,2022,4,1,1,41,N,15,194,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,2,1,2,2,0,2,0,6,,2,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,4,0,4,150000,6,6.0,7,,7.0,8,37500.0,4,4.0,5,,4.0,5,249,2,0,2,0,0,0,1,1,41,1,4,3,0,1.0,3.39,44247.79,1
3067,TQRMNOUTXHKOLQCDEGLDF00789472,2022,4,1,1,41,N,15,146,1,,5,1,,4,1,1,1,,1,1,1,1,2,2,2,5,2,2,0,2,2,2,0,0,0,0,1,,2,,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,50000,1,1.0,2,,2.0,2,25000.0,2,2.0,3,,2.0,3,152,1,0,2,0,0,0,1,2,74,1,7,0,1,0.67,1.67,29940.12,1
3073,TQRMNOPTQHMOKUCDEFOCD00713508,2022,4,1,1,41,N,8,250,1,,2,1,,4,1,1,1,,1,1,1,2,2,2,2,2,2,2,0,1,2,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,85000,3,3.0,4,,3.0,5,28333.33,2,3.0,4,,3.0,5,272,2,0,98,0,0,0,1,1,54,4,2,0,0,1.0,2.76,30797.1,1
3075,TQRMNOPVXHLOKQCDEIMBF00719959,2022,4,1,1,43,N,36,119,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,2,2,2,0,2,0,1,,2,,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,4,0,4,27000,1,1.0,1,,1.0,1,6750.0,1,1.0,1,,1.0,1,113,1,0,4,0,0,0,1,2,42,4,3,0,4,0.77,3.31,8157.1,1
3079,TQRMNOPWVHJOKSCDEIMBF00794736,2022,4,1,1,43,N,36,164,1,,3,2,,2,2,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,2,2,2,0,2,0,7,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,2,2,105000,4,4.0,4,,5.0,5,26250.0,2,2.0,2,,3.0,2,167,1,0,98,0,0,0,1,2,26,4,2,0,4,0.76,2.62,40076.34,1
3081,TQTMNORRSHMOLMCDEIMBF00713537,2022,4,1,1,43,N,36,147,1,,1,1,,2,1,1,1,,1,1,1,2,2,2,2,1,1,2,0,1,2,2,2,0,2,0,2,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,135000,5,6.0,6,,6.0,6,27000.0,2,2.0,2,,3.0,2,178,1,0,97,0,0,0,1,1,34,4,4,3,0,1.0,3.96,34090.91,1
3083,TQRMNORWWHJMLMCDEIOAH00794843,2022,4,1,1,43,N,38,158,1,,3,1,,5,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,4,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,6,0,6,160000,6,7.0,7,,7.0,7,26666.67,2,2.0,2,,3.0,2,145,2,0,98,0,0,0,1,1,34,1,2,3,0,1.0,4.8,33333.33,1
3084,TQRMNORRPHLOLLCDEIOAH00719994,2022,4,1,1,43,N,38,152,2,,1,2,,4,2,2,1,,1,2,2,3,2,2,2,1,1,2,0,1,2,2,2,0,2,0,2,,2,,3,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,6,4,2,93000,3,4.0,4,,4.0,4,15500.0,1,1.0,1,,1.0,1,109,1,0,98,0,0,0,1,2,30,4,5,0,3,0.77,4.05,22962.96,1
3096,TQRMNOQWPHJMLOCDEFIAH00794849,2022,4,1,1,43,S,2,744,2,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,27000,1,1.0,1,1.0,,1,27000.0,2,2.0,2,2.0,,2,1177,1,0,98,0,0,0,1,1,49,1,5,1,0,1.0,1.0,27000.0,1
3099,TQRMNOQRSHMMLNCDEFIAH00787338,2022,4,1,1,43,S,2,410,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,1,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,45100,1,1.0,1,1.0,,1,15033.33,1,1.0,1,1.0,,1,665,1,0,2,3,0,0,1,2,59,1,4,1,0,0.76,2.2800000000000002,19780.7,1
3100,TQRMNOQVXHMMLPCDEFIAH00713728,2022,4,1,1,43,S,2,648,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,2,92000,3,4.0,4,3.0,,4,18400.0,1,1.0,1,1.0,,1,976,2,0,98,0,0,0,1,1,29,4,3,2,0,1.02,3.29,27963.53,1
3101,TQRMNOSURHMMLPCDEFIAH00713729,2022,4,1,1,43,S,2,621,1,,5,1,,4,1,1,1,,1,1,1,2,2,2,2,5,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,120000,5,5.0,5,5.0,,5,24000.0,2,2.0,2,2.0,,2,1228,2,4,1,0,0,0,1,1,53,1,5,3,0,1.0,4.14,28985.51,1
3103,TQRMNOPPSHJOLQCDEFIAH00794850,2022,4,1,1,43,S,2,1533,1,,3,1,,2,2,1,1,,1,1,1,2,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,5,2,3,69400,2,2.0,2,2.0,,2,13880.0,1,1.0,1,1.0,,1,1810,1,2,98,0,0,0,1,2,34,1,2,3,0,0.77,3.5100000000000002,19772.08,1
3107,TQRMNOTRXHJOKQCDEGPDJ00794978,2022,4,1,1,40,N,19,200,2,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,2,2,2,0,2,0,3,,1,,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,0,3,35000,1,1.0,1,,1.0,1,11666.67,1,1.0,1,,1.0,1,200,1,0,98,0,0,0,1,2,50,4,5,0,3,0.76,2.55,13725.49,1
3109,TQRMNORTUHKMKQCDEGPDJ00789828,2022,4,1,1,40,N,19,231,3,,1,1,,2,1,1,1,,1,2,1,1,2,2,2,1,1,2,0,2,2,2,0,0,0,0,3,,4,ELECTRICO,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,0,1,24000,1,1.0,1,,1.0,1,24000.0,2,2.0,3,,2.0,3,231,1,0,98,0,0,0,1,1,26,4,3,3,0,1.02,1.02,23529.41,1
3121,TQRMNOSPUHJOMMCDEFKID00794986,2022,4,1,1,43,S,4,1174,2,,2,2,,4,2,1,1,,1,1,1,3,2,2,2,2,2,2,0,1,2,2,2,0,2,0,6,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,143000,6,6.0,6,6.0,,6,35750.0,3,4.0,3,3.0,,3,2233,2,0,98,0,0,0,1,1,41,1,3,3,0,1.0,3.45,41449.28,1
3123,TQRMNORWXHJOLMCDEHIBB00794988,2022,4,1,1,40,N,22,219,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,7,2,5,205000,8,8.0,9,,8.0,8,29285.71,3,3.0,4,,3.0,4,308,4,2,98,0,0,0,1,1,53,1,4,3,0,1.0,5.59,36672.63,1
3124,TQRMNOQSXHMOKNCDEGJBF00712817,2022,4,1,1,43,S,13,436,1,,3,1,,2,1,1,1,,1,1,1,4,2,2,2,3,2,2,0,1,2,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,52800,2,2.0,2,2.0,,1,17600.0,1,1.0,1,1.0,,1,428,1,0,98,0,0,0,1,2,26,4,4,3,0,0.76,1.98,26666.67,1
3126,TQRMNOQWQHJOKMCDEGJBF00794989,2022,4,1,1,43,S,13,853,1,,2,1,,1,1,1,1,,1,1,1,2,2,2,2,2,2,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,5,0,5,206000,8,8.0,8,8.0,,8,41200.0,4,4.0,4,4.0,,4,918,1,0,98,0,0,0,1,2,44,4,3,3,0,0.77,4.37,47139.59,1
3127,TQRMNOPSSHJMKUCDEHLEH00794990,2022,4,1,1,40,N,25,143,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,148500,6,6.0,7,,6.0,7,29700.0,3,3.0,4,,3.0,4,152,2,0,1,3,4,0,1,1,39,1,4,3,0,1.0,4.01,37032.42,1
3139,TQRMNOQPRHLMKSCDEFNFF00715298,2022,4,1,1,41,N,7,218,1,,3,2,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,6,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,4,67800,2,2.0,3,,2.0,3,11300.0,1,1.0,1,,1.0,1,221,1,0,98,0,0,0,1,2,37,4,1,3,0,0.77,4.57,14835.89,1
3141,TQRMNOQVVHMOKUCDEFNFF00795096,2022,4,1,1,41,N,7,166,1,,3,1,,4,1,1,1,,1,1,1,3,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,6500,1,1.0,1,,1.0,1,3250.0,1,1.0,1,,1.0,1,195,1,0,98,0,0,0,1,2,42,4,5,2,0,0.77,1.32,4924.24,1
3143,TQRMNOQPTHJOLLCDEFNFF00795098,2022,4,1,1,41,N,7,408,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,2,2,2,0,2,0,1,,2,,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,114000,4,5.0,6,,5.0,5,38000.0,4,4.0,5,,4.0,4,569,2,3,98,0,0,0,1,1,60,1,3,0,1,1.0,2.43,46913.58,1
3145,TQRMNORTWHLOLLCDEFNFF00715285,2022,4,1,1,41,N,7,271,1,,1,2,,4,2,2,1,,1,2,1,2,2,2,1,1,1,2,0,1,2,2,2,0,2,0,2,,2,,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,24000,1,1.0,1,,1.0,1,12000.0,1,1.0,1,,1.0,1,140,2,0,98,0,0,0,1,2,22,4,3,3,0,0.76,1.4,17142.86,1
3146,TQRMNPQWYHKOKSCDEFNFF00788140,2022,4,1,1,41,N,7,412,1,,3,1,,4,1,1,1,,1,1,1,3,2,2,2,3,2,2,0,1,2,2,2,0,2,0,2,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,0,3,40000,1,1.0,1,,1.0,1,13333.33,1,1.0,1,,1.0,1,321,2,3,4,0,0,0,1,2,32,4,3,3,0,0.77,2.29,17467.25,1
3154,TQRMNORVPHKMKNCDEHJGH00790240,2022,4,1,1,40,S,23,190,1,,2,1,,2,1,1,1,,1,1,1,1,1,2,2,2,1,2,0,2,2,2,0,0,0,0,3,,1,,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,0,1,24000,1,1.0,1,1.0,,1,24000.0,2,2.0,3,2.0,,3,194,1,0,98,0,0,0,1,2,23,1,5,3,0,0.76,0.76,31578.95,1
3155,TQRMNOQWPHKMKOCDEHJGH00790199,2022,4,1,1,40,S,23,443,1,,5,1,,3,1,1,1,,1,1,1,1,2,2,2,5,4,2,0,1,2,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,0,7,150000,6,7.0,7,6.0,,7,21428.57,2,2.0,2,2.0,,2,455,2,3,4,5,0,0,1,1,58,1,4,0,1,1.0,6.34,23659.31,1
3163,TQRMNOPTRHMNLQCDEHIBB00713708,2022,4,1,1,40,N,22,109,1,,3,1,,1,1,1,1,,1,1,1,2,2,2,2,3,3,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,100000,4,4.0,5,,4.0,4,20000.0,2,2.0,2,,2.0,2,114,2,1,3,4,0,0,1,1,46,4,2,3,0,1.0,4.0600000000000005,24630.54,1
3164,TQRMNOUWPHJOLQCDEHIBB00795221,2022,4,1,1,40,N,22,332,1,,3,2,,7,1,1,1,,1,1,1,2,2,2,2,3,3,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,138000,5,6.0,7,,6.0,6,27600.0,2,3.0,4,,3.0,3,335,1,0,98,0,0,0,1,2,44,4,2,3,0,0.77,4.3100000000000005,32018.56,1
3168,TQRMNOWVXHJMKMCDEFLID00795223,2022,4,1,1,43,S,5,545,1,,2,1,,4,2,1,2,,1,1,1,3,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,6,2,4,50000,1,1.0,1,1.0,,1,8333.33,1,1.0,1,1.0,,1,513,1,6,98,0,0,0,1,2,36,1,3,3,0,0.77,4.7,10638.3,1
3172,TQRMNORQYHKMLNCDEGIBJ00788893,2022,4,1,1,41,N,12,531,2,,2,1,,9,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,5,2,3,107000,4,5.0,5,,5.0,5,21400.0,2,2.0,2,,2.0,2,551,2,0,98,0,0,0,1,1,34,2,4,3,0,1.0,3.84,27864.58,1
